Title,Year,Genre,Runtime,Rating
Psycho,1960,"Horror, Mystery, Thriller",109 min,8.5
The Shining,1980,"Drama, Horror",146 min,8.4
Alien,1979,"Horror, Sci-Fi",117 min,8.4
The Thing,1982,"Horror, Mystery, Sci-Fi",109 min,8.1
